team,season,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Minnesota Timberwolves,2016-17 ,2.18555920222166,0.816712951274931,1.74753850037869,0.151729361272406,0.434991163847513,0.400403938399394,0.501388538247917,0.236808886644787,0.641252209038122,0.878061095682908,0.489775309265337,0.290330724564504,0.165109820752335,0.0934107548598839,0.415551628376673,-0.022973996465539
Oklahoma City Thunder,2016-17 ,2.20676596818985,0.817217874274173,1.80989649078516,0.174703357737945,0.534208533198687,0.39762686190356,0.533451148699823,0.25296642262055,0.712193890431709,0.96516031305226,0.434486240848271,0.310527644534209,0.163595051754607,0.103004291845494,0.432971471850543,0.0156526129765211
Portland Trail Blazers,2016-17 ,2.22052182639237,0.813597591570497,1.77094831911691,0.213748118414451,0.569994982438535,0.379578524836929,0.486703462117411,0.20822880080281,0.689914701455093,0.898143502257903,0.434771700953337,0.282488710486704,0.144004014049172,0.10235825388861,0.435524335173106,-0.0107877571500251
Utah Jazz,2016-17 ,2.09010377119717,0.767653758542141,1.6489496330043,0.200202480384713,0.538597823335864,0.35459377372817,0.474563401670463,0.195140470766894,0.702100733991395,0.897241204758289,0.417868893950899,0.282966337636042,0.139205264490003,0.103771197165275,0.391040242976462,0.0817514553277651
Golden State Warriors,2016-17 ,2.40217391304348,0.892821031344793,1.80485338725986,0.248230535894843,0.647623862487361,0.36830131445905,0.467644084934277,0.19464105156724,0.72623862487361,0.920879676440849,0.629676440849343,0.306117290192113,0.198432760364004,0.140293225480283,0.400657229524773,0.241152679474216
LA Clippers,2016-17 ,2.25537838521893,0.820551759048342,1.72614527967603,0.212857504429258,0.568210579600101,0.401417362692989,0.538597823335864,0.186788154897494,0.706150341685649,0.892938496583144,0.467729688686409,0.26879271070615,0.154897494305239,0.0878258668691471,0.411541381928626,0.0890913692736016
Los Angeles Lakers,2016-17 ,2.17584369449378,0.818066480588683,1.81781273788379,0.185232174574981,0.535397107333164,0.354478558741436,0.470185232174575,0.23674194366912,0.668865770109109,0.905607713778229,0.435422481603654,0.315402182187262,0.171022583100736,0.0811976655671149,0.430855112915504,-0.14311088556204
Phoenix Suns,2016-17 ,2.22667675239536,0.824508320726172,1.83055975794251,0.155068078668684,0.467473524962179,0.422592032274332,0.544377206253152,0.246091780131114,0.683812405446294,0.929904185577408,0.404437720625315,0.318961169944529,0.169692385274836,0.100605143721634,0.51185073121533,-0.116490166414523
Sacramento Kings,2016-17 ,2.12022132796781,0.780935613682093,1.69366197183099,0.185362173038229,0.492957746478873,0.372987927565392,0.481136820925553,0.179828973843058,0.667002012072435,0.846830985915493,0.463782696177062,0.302062374245473,0.157696177062374,0.0814889336016097,0.419265593561368,-0.0799798792756539
Dallas Mavericks,2016-17 ,2.02957532861476,0.750252780586451,1.70626895854398,0.221941354903943,0.625126390293226,0.307128412537917,0.383215369059656,0.163549039433772,0.635995955510617,0.799544994944388,0.430990899898888,0.245702730030334,0.15520728008089,0.0776036400404449,0.396107178968655,-0.0606673407482305
Houston Rockets,2016-17 ,2.39079878665319,0.835439838220425,1.80788675429727,0.298533872598584,0.835692618806876,0.421385237613751,0.550303336703741,0.225480283114257,0.694135490394338,0.919615773508595,0.523255813953488,0.313447927199191,0.169362992922144,0.0889787664307381,0.41304347826087,0.119565217391304
Memphis Grizzlies,2016-17 ,2.0695805074102,0.749560411956795,1.72167797035921,0.192665159507661,0.544837980406933,0.377794523988948,0.481788495352926,0.222557146445617,0.658377292137654,0.880934438583271,0.43808088419995,0.266013564431047,0.164029138407435,0.0864104496357699,0.462195428284351,0.0100477267018337
New Orleans Pelicans,2016-17 ,2.14920874152223,0.806330067822155,1.79100728460186,0.192916352675207,0.551620195930671,0.343632253202713,0.458427530771163,0.176588796784727,0.723185129364481,0.899773926149209,0.46948003014318,0.264757598593318,0.160261240894248,0.113790504898267,0.374277819643306,-0.043205224817885
San Antonio Spurs,2016-17 ,2.18050997222924,0.813430951779854,1.73289573340066,0.190103509214845,0.48649330977026,0.363544559454683,0.455945468316082,0.207270891189094,0.701085584448372,0.908356475637465,0.493309770260035,0.27796011108306,0.165362282251957,0.122191365816713,0.378187326432719,0.148952284776572
Boston Celtics,2017-18 ,2.15324413027013,0.792981570310528,1.76091895985862,0.237061348144408,0.629134057056299,0.330219641504671,0.428427164857359,0.193637970209543,0.726584195910124,0.920222166119667,0.465034082302449,0.289825801565261,0.15248674577127,0.0941681393587478,0.408482706387276,0.0742236808886645
Brooklyn Nets,2017-18 ,2.20120876353563,0.789725509947117,1.79148829010325,0.262150591790481,0.736338453789977,0.359607151850919,0.465877612692017,0.199445983379501,0.718207000755477,0.917652984134979,0.488793754721733,0.313523042054898,0.128934777134223,0.098212037270209,0.425081843364392,-0.0773105011332158
New York Knicks,2017-18 ,2.15985879979829,0.84064548663641,1.81366616238023,0.169692385274836,0.482602118003026,0.30887544125063,0.392586989409985,0.216591023701462,0.693898134140192,0.910489157841654,0.482097831568331,0.304589006555724,0.139183055975794,0.106152294503278,0.424104891578417,-0.0736258194654564
Philadelphia 76ers,2017-18 ,2.27603640040445,0.846562184024267,1.79423660262892,0.227755308392315,0.618048533872599,0.3551567239636,0.472194135490394,0.225733063700708,0.757330637007078,0.983063700707786,0.561425682507583,0.34201213346815,0.172396359959555,0.106167846309403,0.45778564206269,0.0932760364004045
Toronto Raptors,2017-18 ,2.30862329803328,0.853000504286435,1.80761472516389,0.244074634392335,0.682047402924861,0.358547655068079,0.451336359051942,0.201714573877963,0.707766011094302,0.909480584972264,0.50302571860817,0.276096822995461,0.157841654059506,0.126071608673727,0.449571356530509,0.160867372667675
Chicago Bulls,2017-18 ,2.12540921682196,0.798287584991186,1.83455049106019,0.228154117350793,0.641903802568623,0.300679929488794,0.3963737093931,0.198942331906321,0.723243515487283,0.922185847393604,0.484260891463108,0.288844119869051,0.157642911105515,0.0727776378745908,0.395618232183329,-0.145303450012591
Cleveland Cavaliers,2017-18 ,2.30385200202737,0.83907754688292,1.7612772427775,0.248606183476939,0.668018246325393,0.377090724784592,0.483781044095286,0.175874303091738,0.699695894576787,0.875570197668525,0.485554992397364,0.285352255448556,0.14749113025849,0.079067410035479,0.386213887480993,0.0195134313228586
Detroit Pistons,2017-18 ,2.14819490027771,0.809896490785155,1.7997980308003,0.223680888664479,0.599091138601363,0.304721030042918,0.40924009088614,0.209543044685685,0.695783892956324,0.90532693764201,0.471598081292603,0.278212572582681,0.158545821762181,0.0800302953799546,0.380711941428932,-0.00302953799545569
Indiana Pacers,2017-18 ,2.19083776259175,0.846621108580106,1.79271070615034,0.187547456340167,0.508731966590737,0.310048089091369,0.398127056441407,0.19944317894204,0.679321690711212,0.878764869653252,0.460389774740572,0.275373323209314,0.182485446722349,0.0860541635029107,0.390787142495571,0.0286003543406732
Milwaukee Bucks,2017-18 ,2.20146243066062,0.821230458900656,1.71633888048411,0.181038830055472,0.510337871911246,0.377962682803833,0.482854261220373,0.173474533535048,0.650277357539082,0.82375189107413,0.480332829046899,0.28618255168936,0.182047402924861,0.111699445284922,0.441754916792738,-0.00630358043368633
Atlanta Hawks,2017-18 ,2.15046942400406,0.794214666328343,1.7800050748541,0.232682060390764,0.645521441258564,0.32935803095661,0.419690433900025,0.188530829738645,0.683329104288252,0.871859934026897,0.493783303730018,0.323268206039076,0.161887845724435,0.0883024613042375,0.407510784064958,-0.113422989089064
Charlotte Hornets,2017-18 ,2.24317492416582,0.808139534883721,1.79625884732053,0.208291203235592,0.564459049544995,0.418604651162791,0.560161779575329,0.209049544994944,0.733316481294237,0.942366026289181,0.4474216380182,0.26314459049545,0.141304347826087,0.0942871587462083,0.356167846309403,0.00530839231547017
Miami Heat,2017-18 ,2.12744606121425,0.798795785248369,1.75539387857501,0.226542900150527,0.628700451580532,0.303311590566984,0.401655795283492,0.191419969894631,0.702709483191169,0.8941294530858,0.467134972403412,0.295534370296036,0.155544405418966,0.109633718013046,0.413447064726543,0.0097842448569995
Orlando Magic,2017-18 ,2.14875823618855,0.806386213887481,1.78459199189052,0.213887480993411,0.609477952356817,0.322098327420172,0.425240750126711,0.182970096300051,0.682209832742017,0.865179929042068,0.48682209832742,0.302078053725291,0.157627977698936,0.10136847440446,0.400152052711607,-0.100101368474404
Washington Wizards,2017-18 ,2.20146058927222,0.824729287333165,1.76731301939058,0.204986149584488,0.547217325610677,0.347015865021405,0.449760765550239,0.2072525812138,0.683203223369428,0.890455804583228,0.520020146058927,0.301183580961974,0.16242760010073,0.0888944850163687,0.439687736086628,0.0120876353563334
Denver Nuggets,2017-18 ,2.26861167002012,0.83953722334004,1.78621730382294,0.236418511066398,0.637826961770624,0.353118712273642,0.460261569416499,0.226861167002012,0.691146881287726,0.918008048289739,0.517857142857143,0.308350100603622,0.157696177062374,0.101609657947686,0.38556338028169,0.0304325955734406
Minnesota Timberwolves,2017-18 ,2.26710426659934,0.849532946225701,1.7831355718253,0.166119666750821,0.465791466801313,0.401918707397122,0.499873769250189,0.214087351678869,0.654632668518051,0.86872002019692,0.469830850795254,0.257763191113355,0.173945973239081,0.0870992173693512,0.377429941933855,0.0462004544306993
Oklahoma City Thunder,2017-18 ,2.22995461422088,0.82476046394352,1.82072617246596,0.222138174483106,0.628088754412506,0.358295511850731,0.500504286434695,0.258194654563792,0.673474533535048,0.93166918809884,0.441250630358043,0.289208270297529,0.187342410489158,0.103883005547151,0.41679273827534,0.0706001008572869
Portland Trail Blazers,2017-18 ,2.1921032649962,0.815489749430524,1.805112629714,0.213869906352822,0.584155909896229,0.347253859782334,0.434067324727917,0.211338901543913,0.732219691217413,0.943558592761326,0.404707668944571,0.280688433308023,0.145026575550494,0.107061503416857,0.404707668944571,0.0539104024297646
Utah Jazz,2017-18 ,2.1614781068084,0.794482409516578,1.72032396861554,0.22450012655024,0.613768666160466,0.348013161225006,0.446975449253354,0.187294355859276,0.710453049860795,0.897747405720071,0.46545178435839,0.304986079473551,0.179195140470767,0.106302201974184,0.406985573272589,0.0893444697544925
Golden State Warriors,2017-18 ,2.35783071464774,0.889254941713127,1.76862645717182,0.234668018246325,0.600354789660416,0.344652812975165,0.422706538266599,0.175114039533705,0.72909275215408,0.904206791687785,0.608717688798784,0.320577800304105,0.166244298023315,0.155093765838824,0.407247845919919,0.124176381145464
